sample_id	polygon_id	grts_ranking	x	y	main_type	type	phab	sac	year_planned	description_orig	legacy_site	certain	location_id
14560817_2170	BWK433	14560817	30109.6	202542.1	11	18	20	1	4	80% 2160; 20% 2170	0	1	14560817
14610225_2170	BWK607	14610225	32861.6	203758.1	11	18	55	1	4	55% 2170; 35% 2130_hd; 5% 2160; 5% 2120	0	1	14610225
14642993_2170	BWK606	14642993	32413.6	203150.1	11	18	40	1	4	40% 2170; 30% 2130_hd; 20% 2120; 10% 2160	0	1	14642993
14675761_2170	BWK607	14675761	32541.6	203502.1	11	18	55	1	4	55% 2170; 35% 2130_hd; 5% 2160; 5% 2120	0	1	14675761
14691889_2170	BWK425	14691889	30141.6	202830.1	11	18	20	1	4	70% 2160; 20% 2170; 10% 2130_hd	0	1	14691889
14710961_2170	BWK438	14710961	29725.6	201966.1	11	18	15	1	4	80% 2160; 15% 2170; 5% 2130_hd	0	1	14710961
14761777_2170	BWK459	14761777	30333.6	202254.1	11	18	50	1	4	50% 2170; 35% 2130_hd; 10% 2160; 5% 2120	0	1	14761777
14767281_2170	PINK33	14767281	22941.6	198830.1	11	18	100	1	4	NA	0	1	14767281
14872369_2170	BWK607	14872369	33117.6	203822.1	11	18	55	1	4	55% 2170; 35% 2130_hd; 5% 2160; 5% 2120	0	1	14872369
14937905_2170	BWK606	14937905	32477.6	203310.1	11	18	40	1	4	40% 2170; 30% 2130_hd; 20% 2120; 10% 2160	0	1	14937905
14973105_2170	BWK438	14973105	30109.6	202030.1	11	18	15	1	4	80% 2160; 15% 2170; 5% 2130_hd	0	1	14973105
14980273_2170	PINK114	14980273	23613.6	198478.1	11	18	100	1	4	NA	0	1	14980273
15023921_2170	BWK415	15023921	30397.6	202478.1	11	18	20	1	5	80% 2160; 20% 2170	0	1	15023921
15085105_2170	BWK454	15085105	29853.6	202350.1	11	18	50	1	5	50% 2170; 35% 2130_hd; 10% 2160; 5% 2120	0	1	15085105
15122225_2170	BWK606	15122225	32253.6	202990.1	11	18	40	1	5	40% 2170; 30% 2130_hd; 20% 2120; 10% 2160	0	1	15122225
15176881_2170	PINK381	15176881	23389.6	198894.1	11	18	100	1	5	NA	0	1	15176881
15347249_2170	BWK459	15347249	30205.6	202350.1	11	18	50	1	5	50% 2170; 35% 2130_hd; 10% 2160; 5% 2120	0	1	15347249
1535793_2170	BWK606	1535793	32349.6	202894.1	11	18	40	1	5	40% 2170; 30% 2130_hd; 20% 2120; 10% 2160	0	1	1535793
1545393_2170	PINK381	1545393	23453.6	199086.1	11	18	100	1	5	NA	0	1	1545393
15462193_2170	BWK607	15462193	32381.6	203502.1	11	18	55	1	5	55% 2170; 35% 2130_hd; 5% 2160; 5% 2120	0	1	15462193
15497393_2170	BWK438	15497393	29725.6	201934.1	11	18	15	1	5	80% 2160; 15% 2170; 5% 2130_hd	0	1	15497393
15603633_2170	BWK507	15603633	30685.6	202158.1	11	18	20	1	5	40% 2130_hd; 40% 2120; 20% 2170	0	1	15603633
15724337_2170	BWK607	15724337	32765.6	203694.1	11	18	55	1	5	55% 2170; 35% 2130_hd; 5% 2160; 5% 2120	0	1	15724337
15740465_2170	BWK425	15740465	30205.6	202894.1	11	18	20	1	5	70% 2160; 20% 2170; 10% 2130_hd	0	1	15740465
15759537_2170	BWK438	15759537	29949.6	201966.1	11	18	15	1	5	80% 2160; 15% 2170; 5% 2130_hd	0	1	15759537
15810353_2170	BWK428	15810353	30461.6	202414.1	11	18	20	1	5	80% 2160; 20% 2170	0	1	15810353
15904561_2170	BWK607	15904561	33341.6	203982.1	11	18	55	1	5	55% 2170; 35% 2130_hd; 5% 2160; 5% 2120	0	1	15904561
15908657_2170	BWK606	15908657	32189.6	202798.1	11	18	40	1	5	40% 2170; 30% 2130_hd; 20% 2120; 10% 2160	0	1	15908657
16006961_2170	BWK425	16006961	30301.6	202862.1	11	18	20	1	5	70% 2160; 20% 2170; 10% 2130_hd	0	1	16006961
16021681_2170	BWK454	16021681	29981.6	202158.1	11	18	50	1	5	50% 2170; 35% 2130_hd; 10% 2160; 5% 2120	0	1	16021681
1603761_2170	BWK610	1603761	30045.6	201934.1	11	18	15	1	5	70% 2130_hd; 15% 2170; 10% 2160; 5% 2120	0	1	1603761
16061617_2170	PINK381	16061617	23517.6	199150.1	11	18	100	1	5	NA	0	1	16061617
16072497_2170	BWK425	16072497	30269.6	202702.1	11	18	20	1	5	70% 2160; 20% 2170; 10% 2130_hd	0	1	16072497
16127921_2170	BWK610	16127921	30301.6	201870.1	11	18	15	1	5	70% 2130_hd; 15% 2170; 10% 2160; 5% 2120	0	1	16127921
16133681_2170	BWK454	16133681	29789.6	202414.1	11	18	50	1	5	50% 2170; 35% 2130_hd; 10% 2160; 5% 2120	0	1	16133681
16487601_2170	PINK381	16487601	23229.6	199054.1	11	18	100	1	5	NA	0	1	16487601
16510769_2170	BWK607	16510769	32349.6	203630.1	11	18	55	1	5	55% 2170; 35% 2130_hd; 5% 2160; 5% 2120	0	1	16510769
16657969_2170	BWK459	16657969	29981.6	202478.1	11	18	50	1	5	50% 2170; 35% 2130_hd; 10% 2160; 5% 2120	0	1	16657969
16707377_2170	BWK607	16707377	32925.6	203822.1	11	18	55	1	5	55% 2170; 35% 2130_hd; 5% 2160; 5% 2120	0	1	16707377
16740145_2170	BWK606	16740145	32285.6	203150.1	11	18	40	1	6	40% 2170; 30% 2130_hd; 20% 2120; 10% 2160	0	1	16740145
1676465_2170	PINK114	1676465	23517.6	198414.1	11	18	100	1	6	NA	0	1	1676465
16789041_2170	BWK503	16789041	29981.6	202830.1	11	18	30	1	6	50% 2130_hd; 30% 2170; 15% 2160; 5% 2120	0	1	16789041
16808113_2170	BWK454	16808113	29789.6	202094.1	11	18	50	1	6	50% 2170; 35% 2130_hd; 10% 2160; 5% 2120	0	1	16808113
16838449_2170	BWK607	16838449	32893.6	203630.1	11	18	55	1	6	55% 2170; 35% 2130_hd; 5% 2160; 5% 2120	0	1	16838449
16858929_2170	BWK433	16858929	30301.6	202414.1	11	18	20	1	6	80% 2160; 20% 2170	0	1	16858929
16969521_2170	BWK607	16969521	33085.6	203950.1	11	18	55	1	6	55% 2170; 35% 2130_hd; 5% 2160; 5% 2120	0	1	16969521
17035057_2170	BWK606	17035057	32317.6	203374.1	11	18	40	1	6	40% 2170; 30% 2130_hd; 20% 2120; 10% 2160	0	1	17035057
17055537_2170	BWK425	17055537	30333.6	202830.1	11	18	20	1	6	70% 2160; 20% 2170; 10% 2130_hd	0	1	17055537
17070257_2170	BWK438	17070257	30205.6	202190.1	11	18	15	1	6	80% 2160; 15% 2170; 5% 2130_hd	0	1	17070257
1710001_2170	BWK610	1710001	30237.6	202030.1	11	18	15	1	6	70% 2130_hd; 15% 2170; 10% 2160; 5% 2120	0	1	1710001
17110193_2170	PINK381	17110193	23389.6	199182.1	11	18	100	1	6	NA	0	1	17110193
1715761_2170	BWK419	1715761	29981.6	202446.1	11	18	20	1	6	75% 2160; 20% 2170; 5% 2130_hd	0	1	1715761
17182257_2170	BWK419	17182257	29949.6	202286.1	11	18	20	1	6	75% 2160; 20% 2170; 5% 2130_hd	0	1	17182257
17264433_2170	BWK606	17264433	32477.6	202894.1	11	18	40	1	6	40% 2170; 30% 2130_hd; 20% 2120; 10% 2160	0	1	17264433
17332401_2170	BWK610	17332401	30173.6	201742.1	11	18	15	1	6	70% 2130_hd; 15% 2170; 10% 2160; 5% 2120	0	1	17332401
17438641_2170	BWK610	17438641	30429.6	202030.1	11	18	15	1	6	70% 2130_hd; 15% 2170; 10% 2160; 5% 2120	0	1	17438641
17444401_2170	BWK419	17444401	30013.6	202254.1	11	18	20	1	6	75% 2160; 20% 2170; 5% 2130_hd	0	1	17444401
17463473_2170	BWK452	17463473	29597.6	202094.1	11	18	20	1	6	70% 2160; 20% 2170; 10% 2130_hd	0	1	17463473
17559345_2170	BWK607	17559345	32413.6	203598.1	11	18	55	1	6	55% 2170; 35% 2130_hd; 5% 2160; 5% 2120	0	1	17559345
17594545_2170	BWK438	17594545	29917.6	201870.1	11	18	15	1	6	80% 2160; 15% 2170; 5% 2130_hd	0	1	17594545
17706545_2170	BWK503	17706545	30045.6	202638.1	11	18	30	1	6	50% 2130_hd; 30% 2170; 15% 2160; 5% 2120	0	1	17706545
17788721_2170	BWK606	17788721	32349.6	203086.1	11	18	40	1	6	40% 2170; 30% 2130_hd; 20% 2120; 10% 2160	0	1	17788721
1781297_2170	BWK452	1781297	29629.6	202286.1	11	18	20	1	6	70% 2160; 20% 2170; 10% 2130_hd	0	1	1781297
17821489_2170	BWK607	17821489	32573.6	203694.1	11	18	55	1	6	55% 2170; 35% 2130_hd; 5% 2160; 5% 2120	0	1	17821489
17856689_2170	BWK454	17856689	29917.6	202094.1	11	18	50	1	6	50% 2170; 35% 2130_hd; 10% 2160; 5% 2120	0	1	17856689
17907505_2170	BWK459	17907505	30365.6	202318.1	11	18	50	1	7	50% 2170; 35% 2130_hd; 10% 2160; 5% 2120	0	1	17907505
1795441_2170	BWK804	1795441	43101.6	210926.1	11	18	100	1	7	100% 2170	0	1	1795441
1797937_2170	BWK606	1797937	32605.6	203150.1	11	18	40	1	7	40% 2170; 30% 2130_hd; 20% 2120; 10% 2160	0	1	1797937
18018097_2170	BWK607	18018097	33245.6	203886.1	11	18	55	1	7	55% 2170; 35% 2130_hd; 5% 2160; 5% 2120	0	1	18018097
18053297_2170	BWK610	18053297	29885.6	201646.1	11	18	15	1	7	70% 2130_hd; 15% 2170; 10% 2160; 5% 2120	0	1	18053297
1807537_2170	PINK95	1807537	23069.6	198894.1	11	18	100	1	7	NA	0	1	1807537
18083633_2170	BWK607	18083633	32445.6	203438.1	11	18	55	1	7	55% 2170; 35% 2130_hd; 5% 2160; 5% 2120	0	1	18083633
18094001_2170	BWK507	18094001	30749.6	202094.1	11	18	20	1	7	40% 2130_hd; 40% 2120; 20% 2170	0	1	18094001
18118833_2170	BWK438	18118833	29981.6	202030.1	11	18	15	1	7	80% 2160; 15% 2170; 5% 2130_hd	0	1	18118833
18169649_2170	BWK456	18169649	30269.6	202510.1	11	18	50	1	7	50% 2170; 35% 2130_hd; 10% 2160; 5% 2120	0	1	18169649
18230833_2170	BWK454	18230833	29757.6	202222.1	11	18	50	1	7	50% 2170; 35% 2130_hd; 10% 2160; 5% 2120	0	1	18230833
18267953_2170	BWK606	18267953	32253.6	203118.1	11	18	40	1	7	40% 2170; 30% 2130_hd; 20% 2120; 10% 2160	0	1	18267953
18380977_2170	BWK610	18380977	30077.6	201902.1	11	18	15	1	7	70% 2130_hd; 15% 2170; 10% 2160; 5% 2120	0	1	18380977
18414901_2170	BWK1320	18414901	77373.6	228270.1	11	18	35	1	7	40% 2160; 35% 2170; 25% 2130_hd	0	1	18414901
1846833_2170	BWK503	1846833	29949.6	202734.1	11	18	30	1	7	50% 2130_hd; 30% 2170; 15% 2160; 5% 2120	0	1	1846833
18487217_2170	BWK610	18487217	30269.6	202030.1	11	18	15	1	7	70% 2130_hd; 15% 2170; 10% 2160; 5% 2120	0	1	18487217
18492977_2170	BWK419	18492977	30013.6	202414.1	11	18	20	1	7	75% 2160; 20% 2170; 5% 2130_hd	0	1	18492977
18551985_2170	PINK417	18551985	23773.6	199534.1	11	18	100	1	7	NA	0	1	18551985
18607921_2170	BWK607	18607921	32509.6	203726.1	11	18	55	1	7	55% 2170; 35% 2130_hd; 5% 2160; 5% 2120	0	1	18607921
18624049_2170	BWK503	18624049	29917.6	202734.1	11	18	30	1	7	50% 2130_hd; 30% 2170; 15% 2160; 5% 2120	0	1	18624049
1865905_2170	BWK610	1865905	29821.6	201806.1	11	18	15	1	7	70% 2130_hd; 15% 2170; 10% 2160; 5% 2120	0	1	1865905
18672433_2170	PINK783	18672433	37949.6	207246.1	11	18	100	1	7	NA	0	1	18672433
18755121_2170	BWK433	18755121	30141.6	202478.1	11	18	20	1	7	80% 2160; 20% 2170	0	1	18755121
18804529_2170	BWK607	18804529	32829.6	203854.1	11	18	55	1	7	55% 2170; 35% 2130_hd; 5% 2160; 5% 2120	0	1	18804529
18886193_2170	BWK425	18886193	30205.6	202830.1	11	18	20	1	7	70% 2160; 20% 2170; 10% 2130_hd	0	1	18886193
18905265_2170	BWK438	18905265	29789.6	201966.1	11	18	15	1	7	80% 2160; 15% 2170; 5% 2130_hd	0	1	18905265
18956081_2170	BWK459	18956081	30237.6	202222.1	11	18	50	1	7	50% 2170; 35% 2130_hd; 10% 2160; 5% 2120	0	1	18956081
19066673_2170	BWK607	19066673	33053.6	203758.1	11	18	55	1	8	55% 2170; 35% 2130_hd; 5% 2160; 5% 2120	0	1	19066673
19087153_2170	BWK584	19087153	31005.6	202318.1	11	18	20	1	8	50% 2120; 25% 2130_hd; 20% 2170; 5% 2160	0	1	19087153
19152689_2170	BWK425	19152689	30365.6	202862.1	11	18	20	1	8	70% 2160; 20% 2170; 10% 2130_hd	0	1	19152689
19167409_2170	BWK610	19167409	30109.6	201998.1	11	18	15	1	8	70% 2130_hd; 15% 2170; 10% 2160; 5% 2120	0	1	19167409
19207345_2170	PINK381	19207345	23549.6	199342.1	11	18	100	1	8	NA	0	1	19207345
19218225_2170	BWK456	19218225	30365.6	202574.1	11	18	50	1	8	50% 2170; 35% 2130_hd; 10% 2160; 5% 2120	0	1	19218225
19279409_2170	BWK419	19279409	29853.6	202446.1	11	18	20	1	8	75% 2160; 20% 2170; 5% 2130_hd	0	1	19279409
19535793_2170	BWK428	19535793	30429.6	202190.1	11	18	20	1	8	80% 2160; 20% 2170	0	1	19535793
19541553_2170	BWK459	19541553	30173.6	202446.1	11	18	50	1	8	50% 2170; 35% 2130_hd; 10% 2160; 5% 2120	0	1	19541553
19560625_2170	BWK438	19560625	29693.6	201998.1	11	18	15	1	8	80% 2160; 15% 2170; 5% 2130_hd	0	1	19560625
19691697_2170	BWK438	19691697	29821.6	201934.1	11	18	15	1	8	80% 2160; 15% 2170; 5% 2130_hd	0	1	19691697
19742513_2170	BWK456	19742513	30525.6	202446.1	11	18	50	1	8	50% 2170; 35% 2130_hd; 10% 2160; 5% 2120	0	1	19742513
1977905_2170	BWK433	1977905	30109.6	202510.1	11	18	20	1	8	80% 2160; 20% 2170	0	1	1977905
19797937_2170	BWK507	19797937	30653.6	202158.1	11	18	20	1	8	40% 2130_hd; 40% 2120; 20% 2170	0	1	19797937
19803697_2170	BWK425	19803697	30173.6	202670.1	11	18	20	1	8	70% 2160; 20% 2170; 10% 2130_hd	0	1	19803697
19918641_2170	BWK607	19918641	32669.6	203662.1	11	18	55	1	8	55% 2170; 35% 2130_hd; 5% 2160; 5% 2120	0	1	19918641
19934769_2170	BWK503	19934769	30109.6	202894.1	11	18	30	1	8	50% 2130_hd; 30% 2170; 15% 2160; 5% 2120	0	1	19934769
19953841_2170	BWK454	19953841	29853.6	201998.1	11	18	50	1	8	50% 2170; 35% 2130_hd; 10% 2160; 5% 2120	0	1	19953841
20102961_2170	BWK606	20102961	32253.6	202798.1	11	18	40	1	8	40% 2170; 30% 2130_hd; 20% 2120; 10% 2160	0	1	20102961
20201265_2170	BWK425	20201265	30301.6	202958.1	11	18	20	1	8	70% 2160; 20% 2170; 10% 2130_hd	0	1	20201265
20215985_2170	BWK438	20215985	30013.6	202094.1	11	18	15	1	8	80% 2160; 15% 2170; 5% 2130_hd	0	1	20215985
20255921_2170	PINK381	20255921	23453.6	199150.1	11	18	100	1	8	NA	0	1	20255921
20266801_2170	BWK425	20266801	30301.6	202670.1	11	18	20	1	8	70% 2160; 20% 2170; 10% 2130_hd	0	1	20266801
2027313_2170	BWK607	2027313	32829.6	203822.1	11	18	55	1	8	55% 2170; 35% 2130_hd; 5% 2160; 5% 2120	0	1	2027313
20311857_2170	BWK447	20311857	32573.6	203758.1	11	18	80	1	8	80% 2170; 20% 2190_mp	0	1	20311857
20322225_2170	BWK610	20322225	30269.6	201870.1	11	18	15	1	8	70% 2130_hd; 15% 2170; 10% 2160; 5% 2120	0	1	20322225
20327985_2170	BWK454	20327985	29725.6	202414.1	11	18	50	1	9	50% 2170; 35% 2130_hd; 10% 2160; 5% 2120	0	1	20327985
20419761_2170	PINK381	20419761	23389.6	199118.1	11	18	100	1	9	NA	0	1	20419761
20442929_2170	BWK606	20442929	32541.6	203246.1	11	18	40	1	9	40% 2170; 30% 2130_hd; 20% 2120; 10% 2160	0	1	20442929
20518065_2170	PINK381	20518065	23293.6	199246.1	11	18	100	1	9	NA	0	1	20518065
20590129_2170	BWK454	20590129	30109.6	202254.1	11	18	50	1	9	50% 2170; 35% 2130_hd; 10% 2160; 5% 2120	0	1	20590129
20655665_2170	BWK454	20655665	29693.6	202414.1	11	18	50	1	9	50% 2170; 35% 2130_hd; 10% 2160; 5% 2120	0	1	20655665
20681905_2170	PINK381	20681905	23293.6	199054.1	11	18	100	1	9	NA	0	1	20681905
20705073_2170	BWK607	20705073	32285.6	203662.1	11	18	55	1	9	55% 2170; 35% 2130_hd; 5% 2160; 5% 2120	0	1	20705073
20740273_2170	BWK610	20740273	29885.6	201710.1	11	18	15	1	9	70% 2130_hd; 15% 2170; 10% 2160; 5% 2120	0	1	20740273
208433_2170	BWK454	208433	29693.6	202478.1	11	18	50	1	9	50% 2170; 35% 2130_hd; 10% 2160; 5% 2120	0	1	208433
20852273_2170	BWK459	20852273	30077.6	202510.1	11	18	50	1	9	50% 2170; 35% 2130_hd; 10% 2160; 5% 2120	0	1	20852273
20922161_2170	BWK584	20922161	30909.6	202350.1	11	18	20	1	9	50% 2120; 25% 2130_hd; 20% 2170; 5% 2160	0	1	20922161
20934449_2170	BWK606	20934449	32349.6	203182.1	11	18	40	1	9	40% 2170; 30% 2130_hd; 20% 2120; 10% 2160	0	1	20934449
20983345_2170	BWK425	20983345	30077.6	202798.1	11	18	20	1	9	70% 2160; 20% 2170; 10% 2130_hd	0	1	20983345
21002417_2170	BWK454	21002417	29757.6	202094.1	11	18	50	1	9	50% 2170; 35% 2130_hd; 10% 2160; 5% 2120	0	1	21002417
21032753_2170	BWK607	21032753	32797.6	203726.1	11	18	55	1	9	55% 2170; 35% 2130_hd; 5% 2160; 5% 2120	0	1	21032753
21053233_2170	BWK433	21053233	30269.6	202446.1	11	18	20	1	9	80% 2160; 20% 2170	0	1	21053233
2108977_2170	BWK425	2108977	30205.6	202798.1	11	18	20	1	9	70% 2160; 20% 2170; 10% 2130_hd	0	1	2108977
21114417_2170	BWK503	21114417	29949.6	202638.1	11	18	30	1	9	50% 2130_hd; 30% 2170; 15% 2160; 5% 2120	0	1	21114417
21199025_2170	BWK610	21199025	29821.6	201646.1	11	18	15	1	9	70% 2130_hd; 15% 2170; 10% 2160; 5% 2120	0	1	21199025
21200497_2170	BWK700	21200497	40061.6	208654.1	11	18	40	1	9	60% 2160; 40% 2170	0	1	21200497
21229361_2170	BWK607	21229361	32317.6	203470.1	11	18	55	1	9	55% 2170; 35% 2130_hd; 5% 2160; 5% 2120	0	1	21229361
21249841_2170	BWK425	21249841	30237.6	202830.1	11	18	20	1	9	70% 2160; 20% 2170; 10% 2130_hd	0	1	21249841
21264561_2170	BWK438	21264561	30109.6	202126.1	11	18	15	1	9	80% 2160; 15% 2170; 5% 2130_hd	0	1	21264561
2128049_2170	BWK438	2128049	29789.6	201998.1	11	18	15	1	9	80% 2160; 15% 2170; 5% 2130_hd	0	1	2128049
21304497_2170	PINK381	21304497	23357.6	199150.1	11	18	100	1	9	NA	0	1	21304497
21370801_2170	BWK610	21370801	30365.6	201902.1	11	18	15	1	10	70% 2130_hd; 15% 2170; 10% 2160; 5% 2120	0	1	21370801
21376561_2170	BWK419	21376561	29917.6	202254.1	11	18	20	1	10	75% 2160; 20% 2170; 5% 2130_hd	0	1	21376561
21395633_2170	BWK438	21395633	29693.6	201902.1	11	18	15	1	10	80% 2160; 15% 2170; 5% 2130_hd	0	1	21395633
21413681_2170	BWK606	21413681	32125.6	203118.1	11	18	40	1	10	40% 2170; 30% 2130_hd; 20% 2120; 10% 2160	0	1	21413681
21599409_2170	PINK114	21599409	23421.6	198382.1	11	18	100	1	10	NA	0	1	21599409
21638705_2170	BWK419	21638705	29981.6	202318.1	11	18	20	1	10	75% 2160; 20% 2170; 5% 2130_hd	0	1	21638705
21654321_2170	PINK771	21654321	37917.6	207502.1	11	18	100	1	10	NA	0	1	21654321
21657777_2170	BWK452	21657777	29661.6	202190.1	11	18	20	1	10	70% 2160; 20% 2170; 10% 2130_hd	0	1	21657777
21753649_2170	BWK607	21753649	32477.6	203598.1	11	18	55	1	10	55% 2170; 35% 2130_hd; 5% 2160; 5% 2120	0	1	21753649
2178865_2170	BWK438	2178865	30269.6	202254.1	11	18	15	1	10	80% 2160; 15% 2170; 5% 2130_hd	0	1	2178865
21788849_2170	BWK438	21788849	29885.6	201934.1	11	18	15	1	10	80% 2160; 15% 2170; 5% 2130_hd	0	1	21788849
21900849_2170	BWK503	21900849	29981.6	202670.1	11	18	30	1	10	50% 2130_hd; 30% 2170; 15% 2160; 5% 2120	0	1	21900849
21950257_2170	BWK607	21950257	32957.6	203886.1	11	18	55	1	10	55% 2170; 35% 2130_hd; 5% 2160; 5% 2120	0	1	21950257
21970737_2170	BWK584	21970737	30845.6	202318.1	11	18	20	1	10	50% 2120; 25% 2130_hd; 20% 2170; 5% 2160	0	1	21970737
21983025_2170	BWK606	21983025	32317.6	203086.1	11	18	40	1	10	40% 2170; 30% 2130_hd; 20% 2120; 10% 2160	0	1	21983025
22015793_2170	BWK607	22015793	32605.6	203630.1	11	18	55	1	10	55% 2170; 35% 2130_hd; 5% 2160; 5% 2120	0	1	22015793
22031921_2170	BWK503	22031921	30045.6	202862.1	11	18	30	1	10	50% 2130_hd; 30% 2170; 15% 2160; 5% 2120	0	1	22031921
22050993_2170	BWK454	22050993	29853.6	202126.1	11	18	50	1	10	50% 2170; 35% 2130_hd; 10% 2160; 5% 2120	0	1	22050993
22101809_2170	BWK428	22101809	30429.6	202318.1	11	18	20	1	10	80% 2160; 20% 2170	0	1	22101809
22200113_2170	BWK606	22200113	32157.6	202862.1	11	18	40	1	10	40% 2170; 30% 2130_hd; 20% 2120; 10% 2160	0	1	22200113
22212401_2170	BWK607	22212401	33213.6	203918.1	11	18	55	1	10	55% 2170; 35% 2130_hd; 5% 2160; 5% 2120	0	1	22212401
22277937_2170	BWK607	22277937	32509.6	203438.1	11	18	55	1	10	55% 2170; 35% 2130_hd; 5% 2160; 5% 2120	0	1	22277937
22291633_2170	PINK354	22291633	24253.6	199054.1	11	18	100	1	10	NA	0	1	22291633
22313137_2170	BWK438	22313137	30045.6	202062.1	11	18	15	1	10	80% 2160; 15% 2170; 5% 2130_hd	0	1	22313137
22353073_2170	PINK381	22353073	23389.6	199374.1	11	18	100	1	10	NA	0	1	22353073
22363953_2170	BWK415	22363953	30333.6	202542.1	11	18	20	1	10	80% 2160; 20% 2170	0	1	22363953
22419377_2170	BWK610	22419377	30333.6	201806.1	11	18	15	1	10	70% 2130_hd; 15% 2170; 10% 2160; 5% 2120	0	1	22419377
22425137_2170	BWK419	22425137	29789.6	202286.1	11	18	20	1	11	75% 2160; 20% 2170; 5% 2130_hd	0	1	22425137
22507313_2170	BWK606	22507313	32285.6	202862.1	11	18	40	1	11	40% 2170; 30% 2130_hd; 20% 2120; 10% 2160	0	1	22507313
22575281_2170	BWK610	22575281	29981.6	201838.1	11	18	15	1	11	70% 2130_hd; 15% 2170; 10% 2160; 5% 2120	0	1	22575281
22681521_2170	BWK610	22681521	30301.6	201998.1	11	18	15	1	11	70% 2130_hd; 15% 2170; 10% 2160; 5% 2120	0	1	22681521
22687281_2170	BWK419	22687281	29981.6	202382.1	11	18	20	1	11	75% 2160; 20% 2170; 5% 2130_hd	0	1	22687281
22752817_2170	BWK452	22752817	29693.6	202222.1	11	18	20	1	11	70% 2160; 20% 2170; 10% 2130_hd	0	1	22752817
22769457_2170	BWK606	22769457	32573.6	203118.1	11	18	40	1	11	40% 2170; 30% 2130_hd; 20% 2120; 10% 2160	0	1	22769457
22866737_2170	PINK783	22866737	37981.6	207246.1	11	18	100	1	11	NA	0	1	22866737
22888241_2170	BWK451	22888241	30621.6	202318.1	11	18	20	1	11	80% 2160; 20% 2170	0	1	22888241
22949425_2170	BWK433	22949425	30205.6	202574.1	11	18	20	1	11	80% 2160; 20% 2170	0	1	22949425
22998833_2170	BWK607	22998833	32861.6	203854.1	11	18	55	1	11	55% 2170; 35% 2130_hd; 5% 2160; 5% 2120	0	1	22998833
23064369_2170	BWK607	23064369	32573.6	203566.1	11	18	55	1	11	55% 2170; 35% 2130_hd; 5% 2160; 5% 2120	0	1	23064369
23080497_2170	BWK425	23080497	30205.6	202766.1	11	18	20	1	11	70% 2160; 20% 2170; 10% 2130_hd	0	1	23080497
23099569_2170	BWK438	23099569	29789.6	202062.1	11	18	15	1	11	80% 2160; 15% 2170; 5% 2130_hd	0	1	23099569
23150385_2170	BWK438	23150385	30269.6	202286.1	11	18	15	1	11	80% 2160; 15% 2170; 5% 2130_hd	0	1	23150385
23260977_2170	BWK607	23260977	33053.6	203854.1	11	18	55	1	11	55% 2170; 35% 2130_hd; 5% 2160; 5% 2120	0	1	23260977
23326513_2170	BWK606	23326513	32413.6	203310.1	11	18	40	1	11	40% 2170; 30% 2130_hd; 20% 2120; 10% 2160	0	1	23326513
23356785_2170	BWK813	23356785	43133.6	210894.1	11	18	100	1	11	100% 2170	0	1	23356785
23359281_2170	BWK434	23359281	33181.6	202798.1	11	18	100	1	11	100% 2170	0	1	23359281
23361713_2170	BWK438	23361713	30173.6	202062.1	11	18	15	1	11	80% 2160; 15% 2170; 5% 2130_hd	0	1	23361713
23401649_2170	PINK381	23401649	23485.6	199310.1	11	18	100	1	11	NA	0	1	23401649
23423793_2170	PINK766	23423793	37821.6	207406.1	11	18	100	1	11	NA	0	1	23423793
23473713_2170	BWK419	23473713	29949.6	202414.1	11	18	20	1	11	75% 2160; 20% 2170; 5% 2130_hd	0	1	23473713
23565489_2170	PINK381	23565489	23325.6	198958.1	11	18	100	1	11	NA	0	1	23565489
23623857_2170	BWK610	23623857	30077.6	201710.1	11	18	15	1	11	70% 2130_hd; 15% 2170; 10% 2160; 5% 2120	0	1	23623857
2368689_2170	PINK354	2368689	24157.6	198990.1	11	18	100	1	11	NA	0	1	2368689
23730097_2170	BWK428	23730097	30397.6	202158.1	11	18	20	1	12	80% 2160; 20% 2170	0	1	23730097
23735857_2170	BWK419	23735857	30109.6	202382.1	11	18	20	1	12	75% 2160; 20% 2170; 5% 2130_hd	0	1	23735857
2375473_2170	BWK425	2375473	30365.6	202894.1	11	18	20	1	12	70% 2160; 20% 2170; 10% 2130_hd	0	1	2375473
23886001_2170	BWK438	23886001	29821.6	201838.1	11	18	15	1	12	80% 2160; 15% 2170; 5% 2130_hd	0	1	23886001
2390193_2170	BWK610	2390193	30141.6	201998.1	11	18	15	1	12	70% 2130_hd; 15% 2170; 10% 2160; 5% 2120	0	1	2390193
23936817_2170	BWK451	23936817	30525.6	202350.1	11	18	20	1	12	80% 2160; 20% 2170	0	1	23936817
23992241_2170	BWK507	23992241	30717.6	202094.1	11	18	20	1	12	40% 2130_hd; 40% 2120; 20% 2170	0	1	23992241
23998001_2170	BWK425	23998001	30109.6	202702.1	11	18	20	1	12	70% 2160; 20% 2170; 10% 2130_hd	0	1	23998001
24014641_2170	BWK453	24014641	33117.6	202542.1	11	18	90	1	12	90% 2170; 10% 2130_hd	0	1	24014641
24046385_2170	PINK740	24046385	37565.6	207214.1	11	18	100	1	12	NA	0	1	24046385
24067889_2170	BWK584	24067889	30909.6	202318.1	11	18	20	1	12	50% 2120; 25% 2130_hd; 20% 2170; 5% 2160	0	1	24067889
