scheme	sampling_unit_code	point_code	type_target	sac_streams	grts_ranking	grts_ranking_draw	legacy_site	x	y	db_ref	segment_id
MHQ3260	9406738_3260	9406738_1	3260	1	9406738	9406738	0	223379.31	217060.87	NA	1_7_20571
MHQ3260	9418614_3260	9418614_1	3260	1	9418614	9418614	0	208696.6	206086.13	NA	1_4_1552
MHQ3260	946450_3260	946450_1	3260	1	946450	946450	0	224626.87	212537.64	Dommel_03	1_4_95
MHQ3260	947026_3260	947026_1	3260	1	947026	947026	0	239836.41	202029.35	IttBe_01	1_4_516
MHQ3260	9493906_3260	9493906_1	3260	1	9493906	9493906	0	251207.21	202208.21	NA	1_7_11430
MHQ3260	952670_3260	952670_1	3260	2	952670	952670	0	175351.36	236847.31	MunLo_01	1_4_1515
MHQ3260	9530834_3260	1142226_2	3260	2	9530834	1142226	0	230307	186913	Stiemer_02	1_4_1497
MHQ3260	9542190_3260	9542190_1	3260	1	9542190	9542190	0	195254.97	225489.01	NA	1_7_209738
MHQ3260	9552758_3260	9552758_1	3260	1	9552758	9552758	0	209228.29	206453.84	NA	1_4_1283
MHQ3260	9582002_3260	9582002_1	3260	1	9582002	9582002	0	245081.1	161455.84	NA	1_4_347
MHQ3260	9585490_3260	9585490_1	3260	1	9585490	9585490	0	242942.64	198219.98	NA	1_4_52
MHQ3260	9594290_3260	9594290_1	3260	1	9594290	9594290	0	246811.16	162290.59	NA	1_4_6
MHQ3260	9682222_3260	9682222_1	3260	1	9682222	9682222	0	187103.39	231893.9	NA	1_7_221474
MHQ3260	9736530_3260	9736530_1	3260	1	9736530	9736530	0	248124.97	189220.84	NA	1_4_184
MHQ3260	9774514_3260	9774514_1	3260	1	9774514	9774514	0	246885.19	162156.63	NA	1_4_8
MHQ3260	9786450_3260	9786450_1	3260	1	9786450	9786450	0	243734.63	196676.65	NA	1_7_108807
MHQ3260	9793810_3260	9793810_1	3260	1	9793810	9793810	0	224563.13	213121.9	NA	1_7_3796
MHQ3260	9845074_3260	9845074_1	3260	1	9845074	9845074	0	247708.36	192011.84	NA	1_4_148
MHQ3260	9850290_3260	9850290_1	3260	1	9850290	9850290	0	249295.34	161809.56	NA	1_4_571
MHQ3260	9855958_3260	9855958_1	3260	1	9855958	9855958	0	181396.63	208576.68	NA	1_7_28750
