assessment_source	assessment_date	inaccessible	mhq_cycle	polygon_id	type	is_present	any_habitat	not_measurable	reason_not_measurable
field assessment	16071	NA	1	ANTRAN0277	3130_na	0	1	NA	NA
field assessment	16071	NA	1	ANTRET0186	3130_aom	1	1	NA	NA
field assessment	16071	NA	1	ANTRET0186	3140	1	1	NA	NA
field assessment	16071	NA	1	ANTRET0199	3130_aom	1	1	NA	NA
field assessment	16071	NA	1	ANTRET0236	3130_aom	0	1	NA	NA
field assessment	16071	NA	1	ANTRET0236	3140	1	1	NA	NA
field assessment	16071	NA	1	ANTRIJ0072	3130_na	1	1	NA	NA
field assessment	16071	NA	1	ANTRIJ0308	3130_aom	1	1	NA	NA
field assessment	16071	NA	1	ANTRIJ0308	3130_na	1	1	NA	NA
field assessment	16071	NA	1	ANTTUR0065	3130_aom	1	1	NA	NA
field assessment	16071	NA	1	ANTTUR0065	3130_na	1	1	NA	NA
field assessment	16071	NA	1	ANTTUR0127	3150	0	0	NA	NA
field assessment	16071	NA	1	ANTTUR0142	3150	1	1	NA	NA
field assessment	16071	NA	1	ANTTUR0207	3130_aom	1	1	NA	NA
field assessment	16071	NA	1	ANTTUR0207	3130_na	1	1	NA	NA
field assessment	16071	NA	1	ANTTUR0207	3140	1	1	NA	NA
field assessment	16071	NA	1	ANTTUR0301	3130_aom	1	1	NA	NA
field assessment	16071	NA	1	ANTTUR0304	3110	1	1	NA	NA
field assessment	16071	NA	1	ANTTUR0304	3130_aom	1	1	NA	NA
field assessment	16071	NA	1	ANTTUR0304	3130_na	1	1	NA	NA
field assessment	16071	NA	1	ANTVOR0058	3130_aom	0	0	NA	NA
field assessment	16071	NA	1	ANTWIL0020	3140	1	1	NA	NA
field assessment	16071	NA	1	LIMDPB0057	3150	1	1	NA	NA
field assessment	16071	NA	1	LIMDPB0311	3130_aom	0	1	NA	NA
field assessment	16071	NA	1	LIMDPB0311	3130_na	1	1	NA	NA
field assessment	16071	NA	1	LIMDPB0311	3150	1	1	NA	NA
field assessment	16071	NA	1	LIMDPB0315	3130_aom	0	1	NA	NA
field assessment	16071	NA	1	LIMDPB0315	3150	1	1	NA	NA
field assessment	16071	NA	1	LIMDST0108	3110	1	1	NA	NA
field assessment	16071	NA	1	LIMDST0108	3130_aom	1	1	NA	NA
field assessment	16071	NA	1	LIMGNK0025	3130_aom	0	1	NA	NA
field assessment	16071	NA	1	LIMGNK0025	3150	1	1	NA	NA
field assessment	16071	NA	1	LIMGNK0062	3130_aom	0	1	NA	NA
field assessment	16071	NA	1	LIMGNK0062	3150	1	1	NA	NA
field assessment	16071	NA	1	LIMGNK0064	3130_aom	0	1	NA	NA
field assessment	16071	NA	1	LIMGNK0064	3150	1	1	NA	NA
field assessment	16071	NA	1	LIMGNK0095	3130_aom	1	1	NA	NA
field assessment	16071	NA	1	LIMGNK0119	3130_aom	0	1	NA	NA
field assessment	16071	NA	1	LIMGNK0119	3130_na	1	1	NA	NA
field assessment	16071	NA	1	LIMGNK0152	3130_aom	1	1	NA	NA
field assessment	16071	NA	1	LIMGNK0182	3130_aom	1	1	NA	NA
field assessment	16071	NA	1	LIMGNK0182	3130_na	1	1	NA	NA
field assessment	16071	NA	1	LIMGNK0182	3140	1	1	NA	NA
field assessment	16071	NA	1	LIMGNK0372	3130_aom	1	1	NA	NA
field assessment	16071	NA	1	LIMGNK0374	3130_aom	1	1	NA	NA
field assessment	16071	NA	1	LIMGNK0374	3130_na	1	1	NA	NA
field assessment	16071	NA	1	LIMGNK0396	3130_na	1	1	NA	NA
field assessment	16071	NA	1	LIMGNK0396	3150	0	1	NA	NA
field assessment	16071	NA	1	LIMHAS0462	3130_aom	1	1	NA	NA
field assessment	16071	NA	1	LIMHAS0541	3130_aom	1	1	NA	NA
field assessment	16071	NA	1	LIMHAS0544	3130_aom	0	1	NA	NA
field assessment	16071	NA	1	LIMHAS0544	3130_na	1	1	NA	NA
field assessment	16071	NA	1	LIMHHE0001	3160	1	1	NA	NA
field assessment	16071	NA	1	LIMHHE0286	3130_aom	1	1	NA	NA
field assessment	16071	NA	1	LIMHHE0286	3130_na	1	1	NA	NA
field assessment	16071	NA	1	LIMHHE0286	3140	1	1	NA	NA
field assessment	16071	NA	1	LIMHHE0375	3130_aom	0	1	NA	NA
field assessment	16071	NA	1	LIMHHE0375	3160	1	1	NA	NA
field assessment	16071	NA	1	LIMHMA0273	3130_aom	0	0	NA	NA
field assessment	16071	NA	1	LIMLNK0083	3130_aom	1	1	NA	NA
field assessment	16071	NA	1	LIMLUM0054	3130_na	0	0	NA	NA
field assessment	16071	NA	1	LIMLUM0401	3130_aom	1	1	NA	NA
field assessment	16071	NA	1	LIMLUM0401	3150	1	1	NA	NA
field assessment	16071	NA	1	LIMMGR0035	3160	0	0	NA	NA
field assessment	16071	NA	1	LIMMGR0253	3130_aom	0	0	NA	NA
field assessment	16071	NA	1	LIMMGR0253	3160	0	0	NA	NA
field assessment	16071	NA	1	LIMMSK0007	3130_aom	1	1	NA	NA
field assessment	16071	NA	1	LIMMSK0007	3130_na	1	1	NA	NA
field assessment	16071	NA	1	LIMMSM0026	3130_aom	1	1	NA	NA
field assessment	16071	NA	1	LIMMSM0026	3130_na	1	1	NA	NA
field assessment	16071	NA	1	LIMMSM0197	3160	1	1	NA	NA
field assessment	16071	NA	1	LIMZNH0138	3130_aom	0	0	NA	NA
field assessment	16071	NA	1	LIMZNH0238	3130_aom	1	1	NA	NA
field assessment	16071	NA	1	LIMZNH0238	3130_na	1	1	NA	NA
field assessment	16071	NA	1	LIMZNH0333	3130_aom	1	1	NA	NA
field assessment	16071	NA	1	LIMZNH0333	3160	1	1	NA	NA
field assessment	16071	NA	1	LIMZNH0360	3130_aom	1	1	NA	NA
field assessment	16071	NA	1	LIMZNH0360	3160	1	1	NA	NA
field assessment	16071	NA	1	LIMZNH0385	3130_aom	1	1	NA	NA
field assessment	16071	NA	1	LIMZNH0478	3130_aom	1	1	NA	NA
field assessment	16071	NA	1	LIMZNH0478	3130_na	1	1	NA	NA
field assessment	16071	NA	1	LIMZNH0539	3130_aom	0	1	NA	NA
field assessment	16071	NA	1	LIMZNH0539	3130_na	1	1	NA	NA
field assessment	16071	NA	1	LIMZNH0539	3150	1	1	NA	NA
field assessment	16071	NA	1	OVLALT0344	3130_aom	1	1	NA	NA
field assessment	16071	NA	1	OVLALT0344	3130_na	1	1	NA	NA
field assessment	16071	NA	1	OVLLOK0348	3150	1	1	NA	NA
field assessment	16071	NA	1	VBRDIE0443	3130_aom	1	1	NA	NA
field assessment	16071	NA	1	VBRDIE0443	3130_na	0	1	NA	NA
field assessment	16071	NA	1	VBRSZI0235	3130_aom	1	1	NA	NA
field assessment	16071	NA	1	VBRSZI0235	3150	0	1	NA	NA
field assessment	16071	NA	1	VBRSZI0277	3150	1	1	NA	NA
field assessment	16071	NA	1	VBRSZI0401	3150	1	1	NA	NA
field assessment	16071	NA	1	VBRZOU0028	3150	0	0	NA	NA
field assessment	16071	NA	1	WVLBRU1212	3150	1	1	NA	NA
field assessment	16071	NA	1	WVLHAR0329	3140	1	1	NA	NA
field assessment	16071	NA	1	WVLHAR0329	3150	1	1	NA	NA
field assessment	16071	NA	1	WVLJAB0140	3130_aom	1	1	NA	NA
field assessment	16071	NA	1	WVLJAB0174	3130_aom	1	1	NA	NA
field assessment	16071	NA	1	WVLJAB0206	3130_aom	1	1	NA	NA
field assessment	16243	NA	1	LIMHAS0541	3130_na	1	1	NA	NA
field assessment	16251	NA	1	VBRSZI0235	3150	1	1	NA	NA
field assessment	16251	NA	1	VBRSZI0277	3130_aom	1	1	NA	NA
field assessment	16292	NA	1	LIMLUM0401	3130_aom	1	1	NA	NA
field assessment	16292	NA	1	LIMLUM0401	3150	1	1	NA	NA
field assessment	16314	NA	1	ANTMOL0164	3130_na	1	1	NA	NA
field assessment	16314	NA	1	ANTMOL0164	3140	1	1	NA	NA
field assessment	16314	NA	1	ANTMOL0164	3150	1	1	NA	NA
field assessment	16318	NA	1	ANTHST0507	3130_aom	1	1	NA	NA
field assessment	16328	NA	1	LIMZNH0431	3130_na	1	1	NA	NA
field assessment	16436	NA	1	416016_v2020	3140	0	0	NA	NA
field assessment	16436	NA	1	420329_v2023	3140	0	0	NA	NA
field assessment	16436	NA	1	426190_v2020	3140	0	0	NA	NA
field assessment	16436	NA	1	427747_v2020	3140	0	0	NA	NA
field assessment	16436	NA	1	570572_v2018	3130_aom	0	0	NA	NA
field assessment	16436	NA	1	645826_v2023	3160	0	0	NA	NA
field assessment	16436	NA	1	ANTANT0297	3140	1	1	NA	NA
field assessment	16436	NA	1	ANTANT0297	3150	1	1	NA	NA
field assessment	16436	NA	1	ANTARE0200	3130_aom	1	1	NA	NA
field assessment	16436	NA	1	ANTARE0200	3130_na	1	1	NA	NA
field assessment	16436	NA	1	ANTARE0200	3140	0	1	NA	NA
field assessment	16436	NA	1	ANTARE0278	3130_aom	0	0	NA	NA
field assessment	16436	NA	1	ANTARE0340	3130_aom	0	0	NA	NA
field assessment	16436	NA	1	ANTBAL0594	3150	0	0	NA	NA
field assessment	16436	NA	1	ANTBAL0596	3150	0	0	NA	NA
field assessment	16436	NA	1	ANTBCT0252	3140	1	1	NA	NA
field assessment	16436	NA	1	ANTBCT0252	3150	1	1	NA	NA
field assessment	16436	NA	1	ANTBCT0404	3130_aom	0	1	NA	NA
field assessment	16436	NA	1	ANTBCT0404	3130_na	1	1	NA	NA
field assessment	16436	NA	1	ANTBCT0458	3130_aom	1	1	NA	NA
field assessment	16436	NA	1	ANTBCT0458	3140	0	1	NA	NA
field assessment	16436	NA	1	ANTBCT0528	3140	0	0	NA	NA
field assessment	16436	NA	1	ANTBCT0544	3130_na	1	1	NA	NA
field assessment	16436	NA	1	ANTBCT0559	3130_na	0	0	NA	NA
field assessment	16436	NA	1	ANTBCT0579	3130_na	0	0	NA	NA
field assessment	16436	NA	1	ANTBCT0600	3130_na	0	0	NA	NA
field assessment	16436	NA	1	ANTBCT0610	3130_na	0	0	NA	NA
field assessment	16436	NA	1	ANTBON0239	3150	0	0	NA	NA
field assessment	16436	NA	1	ANTBRM0238	3150	0	0	NA	NA
field assessment	16436	NA	1	ANTBRM0255	3150	0	0	NA	NA
field assessment	16436	NA	1	ANTBRS0121	3130_aom	0	0	NA	NA
field assessment	16436	NA	1	ANTBSE0021	3130_na	0	0	NA	NA
NA	16436	long term	1	ANTBSE0061	3130_aom	1	1	NA	NA
NA	16436	long term	1	ANTBSE0061	3130_na	1	1	NA	NA
NA	16436	long term	1	ANTBSE0061	3140	1	1	NA	NA
field assessment	16436	NA	1	ANTBSE0109	3130_aom	0	0	NA	NA
field assessment	16436	NA	1	ANTBSE0165	3130_na	1	1	NA	NA
field assessment	16436	NA	1	ANTBSE0197	3150	0	0	NA	NA
field assessment	16436	NA	1	ANTBSE0215	3130_aom	1	1	NA	NA
field assessment	16436	NA	1	ANTBSE0215	3130_na	1	1	NA	NA
field assessment	16436	NA	1	ANTBSE0227	3130_aom	1	1	NA	NA
field assessment	16436	NA	1	ANTBSE0227	3130_na	0	1	NA	NA
field assessment	16436	NA	1	ANTBSE0333	3150	0	0	NA	NA
field assessment	16436	NA	1	ANTBSE0335	3130_na	0	0	NA	NA
field assessment	16436	NA	1	ANTBSE0338	3130_aom	1	1	NA	NA
field assessment	16436	NA	1	ANTBSE0338	3130_na	1	1	NA	NA
field assessment	16436	NA	1	ANTBSE0366	3130_na	0	0	NA	NA
field assessment	16436	NA	1	ANTDES0096	3150	0	0	NA	NA
field assessment	16436	NA	1	ANTDES0098	3130_aom	0	0	NA	NA
field assessment	16436	NA	1	ANTDES0098	3150	0	0	NA	NA
field assessment	16436	NA	1	ANTDUF0188	3150	0	0	NA	NA
field assessment	16436	NA	1	ANTESS0033	3130_aom	0	0	NA	NA
field assessment	16436	NA	1	ANTESS0225	3160	0	0	NA	NA
field assessment	16436	NA	1	ANTGEE0140	3150	0	0	NA	NA
field assessment	16436	NA	1	ANTGEE0141	3150	0	0	NA	NA
field assessment	16436	NA	1	ANTGEE0422	3150	0	0	NA	NA
field assessment	16436	NA	1	ANTGEE0477	3130_aom	0	0	NA	NA
field assessment	16436	NA	1	ANTGEE0889	3150	1	1	NA	NA
NA	16436	long term	1	ANTGEE1026	3130_aom	NA	NA	NA	NA
field assessment	16436	NA	1	ANTGRO0161	3130_aom	0	0	NA	NA
field assessment	16436	NA	1	ANTGRO0180	3130_aom	0	0	NA	NA
field assessment	16436	NA	1	ANTHST0069	3130_aom	0	0	NA	NA
field assessment	16436	NA	1	ANTHST0141	3130_aom	0	0	NA	NA
field assessment	16436	NA	1	ANTHST0346	3130_aom	1	1	NA	NA
field assessment	16436	NA	1	ANTHST0506	3130_aom	0	0	NA	NA
field assessment	16436	NA	1	ANTHST0665	3130_aom	1	1	NA	NA
field assessment	16436	NA	1	ANTHST0665	3140	1	1	NA	NA
field assessment	16436	NA	1	ANTHTS0138	3130_aom	0	0	NA	NA
field assessment	16436	NA	1	ANTHTS0151	3130_aom	1	1	NA	NA
field assessment	16436	NA	1	ANTHTS0151	3160	1	1	NA	NA
field assessment	16436	NA	1	ANTHUL0273	3130_aom	0	0	NA	NA
field assessment	16436	NA	1	ANTKAL0004	3160	1	1	NA	NA
field assessment	16436	NA	1	ANTKAL0319	3160	0	0	NA	NA
field assessment	16436	NA	1	ANTKAL0330	3160	1	1	NA	NA
field assessment	16436	NA	1	ANTKAL0383	3160	1	1	NA	NA
field assessment	16436	NA	1	ANTKAP0220	3130_aom	0	0	NA	NA
field assessment	16436	NA	1	ANTKAS0017	3160	0	0	NA	NA
field assessment	16436	NA	1	ANTKAS0321	3130_aom	0	0	NA	NA
field assessment	16436	NA	1	ANTKAS0377	3160	0	0	NA	NA
field assessment	16436	NA	1	ANTKAS0403	3130_aom	1	1	NA	NA
field assessment	16436	NA	1	ANTKAS0431	3150	1	1	NA	NA
field assessment	16436	NA	1	ANTKAS0462	3130_aom	1	1	NA	NA
field assessment	16436	NA	1	ANTKAS0462	3160	1	1	NA	NA
field assessment	16436	NA	1	ANTKAS0467	3130_aom	1	1	NA	NA
field assessment	16436	NA	1	ANTKAS0467	3160	1	1	NA	NA
field assessment	16436	NA	1	ANTKON0008	3150	0	0	NA	NA
field assessment	16436	NA	1	ANTLIL0064	3140	0	0	NA	NA
field assessment	16436	NA	1	ANTLIL0362	3130_aom	1	1	NA	NA
field assessment	16436	NA	1	ANTLIL0362	3140	1	1	NA	NA
field assessment	16436	NA	1	ANTLIL0528	3130_aom	1	1	NA	NA
field assessment	16436	NA	1	ANTMEC0180	3140	1	1	NA	NA
field assessment	16436	NA	1	ANTMEC0388	3130_na	1	1	NA	NA
field assessment	16436	NA	1	ANTMEC0388	3140	1	1	NA	NA
field assessment	16436	NA	1	ANTMEC0388	3150	0	1	NA	NA
field assessment	16436	NA	1	ANTMOL0032	3130_na	0	0	NA	NA
field assessment	16436	NA	1	ANTMOL0067	3130_na	0	0	NA	NA
field assessment	16436	NA	1	ANTMOL0143	3130_aom	1	1	NA	NA
field assessment	16436	NA	1	ANTMOL0143	3130_na	1	1	NA	NA
field assessment	16436	NA	1	ANTMOL0143	3140	1	1	NA	NA
field assessment	16436	NA	1	ANTMOL0143	3150	1	1	NA	NA
field assessment	16436	NA	1	ANTMOL0163	3130_na	0	0	NA	NA
field assessment	16436	NA	1	ANTMOL0163	3140	0	0	NA	NA
field assessment	16436	NA	1	ANTMOL0163	3150	0	0	NA	NA
field assessment	16436	NA	1	ANTMOL0539	3130_na	0	0	NA	NA
field assessment	16436	NA	1	ANTMOL0570	3130_aom	0	0	NA	NA
field assessment	16436	NA	1	ANTMOL0570	3160	0	0	NA	NA
field assessment	16436	NA	1	ANTMOL0659	3130_na	0	0	NA	NA
field assessment	16436	NA	1	ANTOTH0270	3160	1	1	NA	NA
field assessment	16436	NA	1	ANTOTH0306	3130_aom	1	1	NA	NA
field assessment	16436	NA	1	ANTRAV0052	3130_aom	1	1	NA	NA
field assessment	16436	NA	1	ANTRAV0052	3130_na	1	1	NA	NA
field assessment	16436	NA	1	ANTRAV0209	3150	0	0	NA	NA
field assessment	16436	NA	1	ANTRAV0293	3130_na	0	0	NA	NA
field assessment	16436	NA	1	ANTRAV0382	3150	0	0	NA	NA
field assessment	16436	NA	1	ANTRAV0383	3130_aom	0	0	NA	NA
field assessment	16436	NA	1	ANTRET0249	3130_aom	0	0	NA	NA
field assessment	16436	NA	1	ANTRET0250	3130_aom	0	0	NA	NA
field assessment	16436	NA	1	ANTRET0273	3130_aom	0	0	NA	NA
field assessment	16436	NA	1	ANTRIJ0006	3130_na	1	1	NA	NA
field assessment	16436	NA	1	ANTRIJ0006	3140	1	1	NA	NA
field assessment	16436	NA	1	ANTRIJ0006	3150	0	1	NA	NA
field assessment	16436	NA	1	ANTRIJ0041	3130_aom	1	1	NA	NA
field assessment	16436	NA	1	ANTRIJ0041	3130_na	1	1	NA	NA
field assessment	16436	NA	1	ANTRIJ0076	3130_na	1	1	NA	NA
field assessment	16436	NA	1	ANTRIJ0171	3130_na	1	1	NA	NA
field assessment	16436	NA	1	ANTSIL0316	3130_aom	0	0	NA	NA
field assessment	16436	NA	1	ANTSTB0002	3130_aom	0	0	NA	NA
field assessment	16436	NA	1	ANTTUR0082	3130_aom	1	1	NA	NA
field assessment	16436	NA	1	ANTTUR0275	3130_aom	0	0	NA	NA
field assessment	16436	NA	1	ANTTUR0296	3110	1	1	NA	NA
field assessment	16436	NA	1	ANTTUR0296	3130_aom	1	1	NA	NA
field assessment	16436	NA	1	ANTTUR0296	3130_na	1	1	NA	NA
field assessment	16436	NA	1	ANTTUR0296	3160	1	1	NA	NA
field assessment	16436	NA	1	ANTTUR0347	3150	0	0	NA	NA
field assessment	16436	NA	1	ANTWES0062	3150	0	0	NA	NA
field assessment	16436	NA	1	ANTWES0133	3130_aom	0	0	NA	NA
field assessment	16436	NA	1	ANTWIL0084	3150	0	0	NA	NA
field assessment	16436	NA	1	ANTWIL0124	3150	0	0	NA	NA
field assessment	16436	NA	1	ANTWIL0176	3150	0	0	NA	NA
field assessment	16436	NA	1	ANTWUU0153	3130_aom	1	1	NA	NA
field assessment	16436	NA	1	ANTWUU0153	3150	1	1	NA	NA
field assessment	16436	NA	1	LIMBRE0283	3130_na	1	1	NA	NA
field assessment	16436	NA	1	LIMBRE0283	3150	0	1	NA	NA
field assessment	16436	NA	1	LIMBRG0182	3160	1	1	NA	NA
field assessment	16436	NA	1	LIMBRG0192	3160	0	0	NA	NA
field assessment	16436	NA	1	LIMDPB0100	3130_aom	0	0	NA	NA
field assessment	16436	NA	1	LIMDPB0249	3130_aom	0	0	NA	NA
field assessment	16436	NA	1	LIMDST0104	3160	1	1	NA	NA
field assessment	16436	NA	1	LIMDST0178	3150	1	1	NA	NA
field assessment	16436	NA	1	LIMGNK0010	3130_aom	0	0	NA	NA
field assessment	16436	NA	1	LIMGNK0021	3130_aom	0	0	NA	NA
field assessment	16436	NA	1	LIMGNK0035	3140	1	1	NA	NA
field assessment	16436	NA	1	LIMGNK0035	3150	1	1	NA	NA
field assessment	16436	NA	1	LIMGNK0046	3130_aom	0	0	NA	NA
field assessment	16436	NA	1	LIMGNK0050	3130_aom	0	1	NA	NA
field assessment	16436	NA	1	LIMGNK0050	3130_na	1	1	NA	NA
field assessment	16436	NA	1	LIMGNK0060	3130_aom	0	0	NA	NA
field assessment	16436	NA	1	LIMGNK0066	3130_aom	0	1	NA	NA
field assessment	16436	NA	1	LIMGNK0066	3160	1	1	NA	NA
field assessment	16436	NA	1	LIMGNK0067	3130_aom	0	0	NA	NA
field assessment	16436	NA	1	LIMGNK0089	3130_aom	1	1	NA	NA
field assessment	16436	NA	1	LIMGNK0127	3130_aom	0	1	NA	NA
field assessment	16436	NA	1	LIMGNK0127	3130_na	1	1	NA	NA
field assessment	16436	NA	1	LIMGNK0131	3130_aom	0	0	NA	NA
field assessment	16436	NA	1	LIMGNK0134	3130_aom	0	0	NA	NA
field assessment	16436	NA	1	LIMGNK0139	3130_aom	0	0	NA	NA
field assessment	16436	NA	1	LIMGNK0147	3130_aom	0	1	NA	NA
field assessment	16436	NA	1	LIMGNK0147	3130_na	1	1	NA	NA
field assessment	16436	NA	1	LIMGNK0169	3130_aom	0	0	NA	NA
field assessment	16436	NA	1	LIMGNK0173	3130_aom	0	0	NA	NA
field assessment	16436	NA	1	LIMGNK0173	3150	0	0	NA	NA
field assessment	16436	NA	1	LIMGNK0177	3130_aom	1	1	NA	NA
field assessment	16436	NA	1	LIMGNK0373	3130_aom	0	0	NA	NA
field assessment	16436	NA	1	LIMGNK0848	3130_aom	0	0	NA	NA
field assessment	16436	NA	1	LIMGNK0896	3130_aom	0	0	NA	NA
field assessment	16436	NA	1	LIMHAS0453	3130_aom	0	0	NA	NA
field assessment	16436	NA	1	LIMHAS0456	3130_aom	0	0	NA	NA
field assessment	16436	NA	1	LIMHAS0479	3130_aom	0	0	NA	NA
field assessment	16436	NA	1	LIMHAS0540	3130_aom	0	0	NA	NA
field assessment	16436	NA	1	LIMHAS0545	3130_aom	0	0	NA	NA
field assessment	16436	NA	1	LIMHAS0569	3130_aom	0	0	NA	NA
field assessment	16436	NA	1	LIMHAS0570	3130_aom	0	0	NA	NA
field assessment	16436	NA	1	LIMHAS0629	3130_aom	0	1	NA	NA
field assessment	16436	NA	1	LIMHAS0629	3150	1	1	NA	NA
field assessment	16436	NA	1	LIMHAS0669	3130_aom	0	0	NA	NA
field assessment	16436	NA	1	LIMHAS0671	3130_aom	0	0	NA	NA
field assessment	16436	NA	1	LIMHAS0672	3130_aom	0	1	NA	NA
field assessment	16436	NA	1	LIMHAS0672	3130_na	1	1	NA	NA
field assessment	16436	NA	1	LIMHAS0846	3130_aom	0	0	NA	NA
field assessment	16436	NA	1	LIMHAS0849	3130_aom	1	1	NA	NA
field assessment	16436	NA	1	LIMHAS0849	3130_na	1	1	NA	NA
field assessment	16436	NA	1	LIMHAS0849	3140	1	1	NA	NA
field assessment	16436	NA	1	LIMHAS0854	3130_aom	0	0	NA	NA
field assessment	16436	NA	1	LIMHEC0578	3130_aom	1	1	NA	NA
field assessment	16436	NA	1	LIMHEC0578	3150	1	1	NA	NA
field assessment	16436	NA	1	LIMHEC0578	3160	1	1	NA	NA
field assessment	16436	NA	1	LIMHHE0002	3130_aom	1	1	NA	NA
field assessment	16436	NA	1	LIMHHE0002	3160	1	1	NA	NA
field assessment	16436	NA	1	LIMHHE0005	3160	1	1	NA	NA
field assessment	16436	NA	1	LIMHHE0008	3130_aom	1	1	NA	NA
field assessment	16436	NA	1	LIMHHE0008	3160	1	1	NA	NA
field assessment	16436	NA	1	LIMHHE0112	3130_aom	1	1	NA	NA
field assessment	16436	NA	1	LIMHHE0112	3160	1	1	NA	NA
field assessment	16436	NA	1	LIMHHE0114	3130_aom	1	1	NA	NA
field assessment	16436	NA	1	LIMHHE0114	3130_na	1	1	NA	NA
field assessment	16436	NA	1	LIMHMA0012	3130_aom	0	0	NA	NA
field assessment	16436	NA	1	LIMHMA0271	3130_aom	0	0	NA	NA
field assessment	16436	NA	1	LIMHVL0092	3130_aom	0	1	NA	NA
field assessment	16436	NA	1	LIMHVL0092	3130_na	1	1	NA	NA
field assessment	16436	NA	1	LIMHVL0092	3150	1	1	NA	NA
field assessment	16436	NA	1	LIMHVL0092	3160	1	1	NA	NA
NA	16436	long term	1	LIMHVL0144	3130_aom	NA	NA	NA	NA
field assessment	16436	NA	1	LIMLUM0151	3130_aom	0	0	NA	NA
field assessment	16436	NA	1	LIMLUM0240	3150	0	0	NA	NA
field assessment	16436	NA	1	LIMMGR0261	3160	0	0	NA	NA
field assessment	16436	NA	1	LIMMGR0262	3160	1	1	NA	NA
field assessment	16436	NA	1	LIMMGR0376	3130_aom	1	1	NA	NA
field assessment	16436	NA	1	LIMMGR0376	3160	1	1	NA	NA
field assessment	16436	NA	1	LIMMSK0353	3130_aom	1	1	NA	NA
field assessment	16436	NA	1	LIMMSK0353	3130_na	1	1	NA	NA
field assessment	16436	NA	1	LIMMSM0061	3160	0	0	NA	NA
field assessment	16436	NA	1	LIMMSM0198	3160	1	1	NA	NA
field assessment	16436	NA	1	LIMMSM0247	3130_aom	0	0	NA	NA
field assessment	16436	NA	1	LIMOPG0016	3160	1	1	NA	NA
field assessment	16436	NA	1	LIMTES0026	3160	1	1	NA	NA
field assessment	16436	NA	1	LIMZNH0013	3130_na	0	0	NA	NA
field assessment	16436	NA	1	LIMZNH0040	3130_aom	0	0	NA	NA
field assessment	16436	NA	1	LIMZNH0046	3130_aom	0	0	NA	NA
field assessment	16436	NA	1	LIMZNH0055	3130_aom	0	0	NA	NA
field assessment	16436	NA	1	LIMZNH0061	3130_na	0	0	NA	NA
field assessment	16436	NA	1	LIMZNH0062	3130_na	0	0	NA	NA
field assessment	16436	NA	1	LIMZNH0115	3140	0	0	NA	NA
